facet	hue	bin_center	mean_density	error	n_seeds
cross	3	1.079086e-05	0.000000e+00	0.000000e+00	100
cross	3	1.082713e-05	0.000000e+00	0.000000e+00	100
cross	3	1.086340e-05	0.000000e+00	0.000000e+00	100
cross	3	1.094294e-05	0.000000e+00	0.000000e+00	100
cross	3	1.106677e-05	0.000000e+00	0.000000e+00	100
cross	3	1.119201e-05	0.000000e+00	0.000000e+00	100
cross	3	1.131867e-05	0.000000e+00	0.000000e+00	100
cross	3	1.144676e-05	0.000000e+00	0.000000e+00	100
cross	3	1.157629e-05	0.000000e+00	0.000000e+00	100
cross	3	1.170730e-05	0.000000e+00	0.000000e+00	100
cross	3	1.183978e-05	0.000000e+00	0.000000e+00	100
cross	3	1.197377e-05	0.000000e+00	0.000000e+00	100
cross	3	1.210927e-05	0.000000e+00	0.000000e+00	100
cross	3	1.224631e-05	0.000000e+00	0.000000e+00	100
cross	3	1.238490e-05	0.000000e+00	0.000000e+00	100
cross	3	1.252505e-05	0.000000e+00	0.000000e+00	100
cross	3	1.266679e-05	0.000000e+00	0.000000e+00	100
cross	3	1.281014e-05	0.000000e+00	0.000000e+00	100
cross	3	1.295510e-05	0.000000e+00	0.000000e+00	100
cross	3	1.310171e-05	0.000000e+00	0.000000e+00	100
cross	3	1.324998e-05	0.000000e+00	0.000000e+00	100
cross	3	1.339992e-05	0.000000e+00	0.000000e+00	100
cross	3	1.355156e-05	0.000000e+00	0.000000e+00	100
cross	3	1.370492e-05	0.000000e+00	0.000000e+00	100
cross	3	1.386001e-05	0.000000e+00	0.000000e+00	100
cross	3	1.401686e-05	0.000000e+00	0.000000e+00	100
cross	3	1.417548e-05	0.000000e+00	0.000000e+00	100
cross	3	1.433590e-05	0.000000e+00	0.000000e+00	100
cross	3	1.449814e-05	0.000000e+00	0.000000e+00	100
cross	3	1.466221e-05	0.000000e+00	0.000000e+00	100
cross	3	1.482813e-05	0.000000e+00	0.000000e+00	100
cross	3	1.499594e-05	0.000000e+00	0.000000e+00	100
cross	3	1.516564e-05	0.000000e+00	0.000000e+00	100
cross	3	1.533726e-05	0.000000e+00	0.000000e+00	100
cross	3	1.551083e-05	0.000000e+00	0.000000e+00	100
cross	3	1.568636e-05	0.000000e+00	0.000000e+00	100
cross	3	1.586387e-05	0.000000e+00	0.000000e+00	100
cross	3	1.604340e-05	0.000000e+00	0.000000e+00	100
cross	3	1.622495e-05	0.000000e+00	0.000000e+00	100
cross	3	1.640857e-05	0.000000e+00	0.000000e+00	100
cross	3	1.659425e-05	0.000000e+00	0.000000e+00	100
cross	3	1.678204e-05	0.000000e+00	0.000000e+00	100
cross	3	1.697196e-05	0.000000e+00	0.000000e+00	100
cross	3	1.716402e-05	0.000000e+00	0.000000e+00	100
cross	3	1.735826e-05	0.000000e+00	0.000000e+00	100
cross	3	1.755470e-05	0.000000e+00	0.000000e+00	100
cross	3	1.775336e-05	0.000000e+00	0.000000e+00	100
cross	3	1.795427e-05	0.000000e+00	0.000000e+00	100
cross	3	1.815745e-05	0.000000e+00	0.000000e+00	100
cross	3	1.836293e-05	0.000000e+00	0.000000e+00	100
cross	3	1.857073e-05	0.000000e+00	0.000000e+00	100
cross	3	1.878089e-05	0.000000e+00	0.000000e+00	100
