facet,hue,bin_center,mean_density,error,n_seeds,original_n_seeds
cross,3,1.516564e-05,0.0,0.0,0,100
cross,3,1.533726e-05,0.0,0.0,0,100
cross,3,1.551083e-05,0.0,0.0,0,100
cross,3,1.568636e-05,0.0,0.0,0,100
cross,3,1.586387e-05,0.0,0.0,0,100
cross,3,1.60434e-05,0.0,0.0,0,100
cross,3,1.622495e-05,0.0,0.0,0,100
cross,3,1.640857e-05,0.0,0.0,0,100
cross,3,1.659425e-05,0.0,0.0,0,100
cross,3,1.678204e-05,0.0,0.0,0,100
cross,3,1.697196e-05,0.0,0.0,0,100
cross,3,1.716402e-05,0.0,0.0,0,100
cross,3,1.735826e-05,0.0,0.0,0,100
cross,3,1.75547e-05,0.0,0.0,0,100
cross,3,1.775336e-05,0.0,0.0,0,100
cross,3,1.795427e-05,0.0,0.0,0,100
cross,3,1.815745e-05,0.0,0.0,0,100
cross,3,1.836293e-05,0.0,0.0,0,100
cross,3,1.857073e-05,0.0,0.0,0,100
cross,3,1.878089e-05,0.0,0.0,0,100
cross,3,1.899343e-05,0.0,0.0,0,100
cross,3,1.920837e-05,0.0,0.0,0,100
cross,3,1.942574e-05,0.0,0.0,0,100
cross,3,1.964557e-05,0.0,0.0,0,100
cross,3,1.986789e-05,0.0,0.0,0,100
cross,3,2.009273e-05,0.0,0.0,0,100
cross,3,2.032011e-05,0.0,0.0,0,100
cross,3,2.055007e-05,0.0,0.0,0,100
cross,3,2.078262e-05,0.0,0.0,0,100
cross,3,2.101781e-05,0.0,0.0,0,100
cross,3,2.125566e-05,0.0,0.0,0,100
cross,3,2.14962e-05,0.0,0.0,0,100
cross,3,2.173947e-05,0.0,0.0,0,100
cross,3,2.198548e-05,0.0,0.0,0,100
cross,3,2.223428e-05,0.0,0.0,0,100
cross,3,2.24859e-05,0.0,0.0,0,100
cross,3,2.274036e-05,0.0,0.0,0,100
cross,3,2.299771e-05,0.0,0.0,0,100
cross,3,2.325796e-05,0.0,0.0,0,100
cross,3,2.352116e-05,0.0,0.0,0,100
cross,3,2.378734e-05,0.0,0.0,0,100
cross,3,2.405653e-05,0.0,0.0,0,100
cross,3,2.432877e-05,0.0,0.0,0,100
cross,3,2.460409e-05,0.0,0.0,0,100
cross,3,2.488253e-05,0.0,0.0,0,100
cross,3,2.516411e-05,0.0,0.0,0,100
cross,3,2.544888e-05,0.0,0.0,0,100
cross,3,2.573688e-05,0.0,0.0,0,100
cross,3,2.602813e-05,0.0,0.0,0,100
cross,3,2.632268e-05,0.0,0.0,0,100
cross,3,2.662056e-05,0.0,0.0,0,100
cross,3,2.692182e-05,0.0,0.0,0,100
cross,3,2.722648e-05,0.0,0.0,0,100
cross,3,2.753459e-05,0.0,0.0,0,100
cross,3,2.784619e-05,0.0,0.0,0,100
cross,3,2.816131e-05,0.0,0.0,0,100
cross,3,2.848e-05,0.0,0.0,0,100
cross,3,2.88023e-05,0.0,0.0,0,100
cross,3,2.912824e-05,0.0,0.0,0,100
cross,3,2.945788e-05,0.0,0.0,0,100
cross,3,2.979124e-05,0.0,0.0,0,100
cross,3,3.012837e-05,0.0,0.0,0,100
cross,3,3.046932e-05,0.0,0.0,0,100
cross,3,3.081413e-05,0.0,0.0,0,100
cross,3,3.116284e-05,0.0,0.0,0,100
cross,3,3.15155e-05,0.0,0.0,0,100
cross,3,3.187215e-05,0.0,0.0,0,100
cross,3,3.223283e-05,0.0,0.0,0,100
cross,3,3.25976e-05,0.0,0.0,0,100
cross,3,3.296649e-05,0.0,0.0,0,100
cross,3,3.333956e-05,0.0,0.0,0,100
cross,3,3.371685e-05,130741.9,15197.25,0,100
cross,3,3.409841e-05,0.0,0.0,0,100
cross,3,3.448429e-05,0.0,0.0,0,100
cross,3,3.487453e-05,0.0,0.0,0,100
cross,3,3.526919e-05,0.0,0.0,0,100
cross,3,3.566832e-05,0.0,0.0,0,100
cross,3,3.607196e-05,0.0,0.0,0,100
cross,3,3.648017e-05,0.0,0.0,0,100
cross,3,3.689301e-05,0.0,0.0,0,100
cross,3,3.731051e-05,0.0,0.0,0,100
cross,3,3.773274e-05,0.0,0.0,0,100
cross,3,3.815974e-05,0.0,0.0,0,100
cross,3,3.859158e-05,0.0,0.0,0,100
cross,3,3.902831e-05,0.0,0.0,0,100
cross,3,3.946997e-05,0.0,0.0,0,100
cross,3,3.991664e-05,0.0,0.0,0,100
cross,3,4.036836e-05,0.0,0.0,0,100
cross,3,4.082519e-05,0.0,0.0,0,100
cross,3,4.128719e-05,0.0,0.0,0,100
cross,3,4.175442e-05,0.0,0.0,0,100
cross,3,4.222694e-05,0.0,0.0,0,100
cross,3,4.27048e-05,0.0,0.0,0,100
cross,3,4.318808e-05,0.0,0.0,0,100
cross,3,4.367682e-05,0.0,0.0,0,100
cross,3,4.417109e-05,0.0,0.0,0,100
cross,3,4.467096e-05,0.0,0.0,0,100
cross,3,4.517648e-05,0.0,0.0,0,100
cross,3,4.568772e-05,0.0,0.0,0,100
cross,3,4.620475e-05,0.0,0.0,0,100
cross,3,4.672763e-05,0.0,0.0,0,100
cross,3,4.725643e-05,0.0,0.0,0,100
cross,3,4.779121e-05,0.0,0.0,0,100
cross,3,4.833205e-05,0.0,0.0,0,100
